time_local,id,event,fight_date,location,bout,weight_class,time_format,state,winner,method,det,round,last_round,time,fighter_r,bdy_val_r,bdy_tot_r,ctrl_r,hd_val_r,hd_tot_r,kd_r,lgs_val_r,lgs_tot_r,sigstr_val_r,sigstr_tot_r,subatt_r,td_val_r,td_tot_r,totstr_val_r,totstr_tot_r,ht_r,rch_r,sigstrkacc_r,sigstrklpm_r,stnce_r,subavg_r,tdacc_r,tdavg_r,wt_r,dob_r,fighter_b,bdy_val_b,bdy_tot_b,ctrl_b,hd_val_b,hd_tot_b,kd_b,lgs_val_b,lgs_tot_b,sigstr_val_b,sigstr_tot_b,subatt_b,td_val_b,td_tot_b,totstr_val_b,totstr_tot_b,ht_b,rch_b,sigstrkacc_b,sigstrklpm_b,stnce_b,subavg_b,tdacc_b,tdavg_b,wt_b,dob_b
06:22:48,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R2, 2:58",2.0,5,5:00,islam_makhachev,4,5,2:55,7,24,0,1,1,12,30,0,2,3,18,36,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,5,0:00,6,23,0,2,3,9,31,0,0,0,12,35,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:23:06,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R2, 2:27",2.0,5,5:00,islam_makhachev,5,6,2:43,7,24,0,1,1,13,31,0,2,3,20,38,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,5,0:35,8,27,0,2,3,11,35,0,0,0,16,41,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:23:25,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R2, 2:58",2.0,5,5:00,islam_makhachev,4,5,2:55,7,24,0,1,1,12,30,0,2,3,18,36,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,5,0:00,6,23,0,2,3,9,31,0,0,0,12,35,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:23:43,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R2, 2:27",2.0,5,5:00,islam_makhachev,5,6,2:43,7,24,0,1,1,13,31,0,2,3,20,38,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,5,0:35,8,27,0,2,3,11,35,0,0,0,16,41,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:24:01,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R2, 1:54",2.0,5,5:00,islam_makhachev,6,7,3:01,7,24,0,1,1,14,32,0,2,3,21,39,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,5,0:17,8,27,0,2,3,11,35,0,0,0,16,41,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:24:20,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R2, 1:54",2.0,5,5:00,islam_makhachev,6,7,3:01,7,24,0,1,1,14,32,0,2,3,21,39,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,1,5,0:17,8,27,0,2,3,11,35,0,0,0,16,41,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:24:39,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R2, 0:44",2.0,5,5:00,islam_makhachev,7,9,3:01,18,41,0,1,1,26,51,0,2,3,33,58,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,4,10,0:17,9,39,0,6,7,19,56,0,0,0,24,62,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:24:57,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R2, 0:44",2.0,5,5:00,islam_makhachev,7,9,3:01,18,41,0,1,1,26,51,0,2,3,33,58,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,4,10,0:17,9,39,0,6,7,19,56,0,0,0,24,62,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:25:16,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R2, 0:44",2.0,5,5:00,islam_makhachev,7,9,3:01,18,41,0,1,1,26,51,0,2,3,33,58,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,4,10,0:17,9,39,0,6,7,19,56,0,0,0,24,62,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
06:25:35,401498612,UFC 284: Makhachev vs. Volkanovski,2023-02-11,"Perth, Australia",Islam Makhachev vs. Alexander Volkanovski,Lightweight,5 Rnd (5-5-5-5-5),in,R,U Dec,"R2, 0:12",2.0,5,5:00,islam_makhachev,8,10,3:01,19,42,0,1,1,28,53,0,2,3,38,63,"5' 10""","70.5""",72.16%,2,Southpaw,1,65.85%,3,155 lbs,10/27/1991,alexander_volkanovski,4,10,0:32,9,39,0,6,7,19,56,0,0,0,26,64,"5' 6""","71.5""",58.60%,6,Orthodox,0,36.51%,1,154 lbs,9/29/1988
